weight_raw,zone_raw,base_rate_raw,base_rate_clean,base_rate,weight_lb,pdf_page,table_index
FedEx® Envelope,col_1,,,,,17,1
up to 8 oz.,col_1,,,,8.0,17,1
FedEx® Pak,col_1,,,,,17,1
Fed,col_1,,,,,17,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,col_1,"1lb.
2 lbs.
3
4
5",1.2.345,,,17,1
nan,col_1,"6
7
8
9
10",678910,678910.0,,17,1
nan,col_1,"11
12
13
14
15",1112131415,1112131415.0,,17,1
nan,col_1,"16
17
18
19
20",1617181920,1617181920.0,,17,1
nan,col_1,"21
22
23
24
25",2122232425,2122232425.0,,17,1
nan,col_1,"26
27
28
29
30",2627282930,2627282930.0,,17,1
nan,col_1,"31
32
33
34
35",3132333435,3132333435.0,,17,1
nan,col_1,"36
37
38
39
40",3637383940,3637383940.0,,17,1
nan,col_1,"41
42
43
44
45",4142434445,4142434445.0,,17,1
nan,col_1,"46
47
48
49",46474849,46474849.0,,17,1
FedEx® Envelope,Next day by 8 or 8:30 a.m.4,"FedEx
First
Overnight®",,,,17,1
up to 8 oz.,Next day by 8 or 8:30 a.m.4,$ 94.70,94.70,94.7,8.0,17,1
FedEx® Pak,Next day by 8 or 8:30 a.m.4,*,,,,17,1
Fed,Next day by 8 or 8:30 a.m.4,,,,,17,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 8 or 8:30 a.m.4,"$ 134.80
141.68
159.81
170.90
172.84",134.80141.68159.81170.90172.84,,,17,1
nan,Next day by 8 or 8:30 a.m.4,"193.69
200.81
210.84
211.85
213.60",193.69200.81210.84211.85213.60,,,17,1
nan,Next day by 8 or 8:30 a.m.4,"248.53
253.10
272.81
274.79
276.05",248.53253.10272.81274.79276.05,,,17,1
nan,Next day by 8 or 8:30 a.m.4,"300.84
303.32
303.58
303.83
304.63",300.84303.32303.58303.83304.63,,,17,1
nan,Next day by 8 or 8:30 a.m.4,"320.29
334.57
351.17
357.63
358.47",320.29334.57351.17357.63358.47,,,17,1
nan,Next day by 8 or 8:30 a.m.4,"366.66
368.90
382.52
392.64
394.20",366.66368.90382.52392.64394.20,,,17,1
nan,Next day by 8 or 8:30 a.m.4,"406.63
408.44
430.63
439.07
442.88",406.63408.44430.63439.07442.88,,,17,1
