weight_raw,zone_raw,base_rate_raw,base_rate_clean,base_rate,weight_lb,pdf_page,table_index
FedEx® Envelope,col_1,,,,,8,1
up to 8 oz.,col_1,,,,8.0,8,1
FedEx® Pak,col_1,,,,,8,1
Fed,col_1,,,,,8,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,col_1,"1lb.
2 lbs.
3
4
5",1.2.345,,,8,1
nan,col_1,"6
7
8
9
10",678910,678910.0,,8,1
nan,col_1,"11
12
13
14
15",1112131415,1112131415.0,,8,1
nan,col_1,"16
17
18
19
20",1617181920,1617181920.0,,8,1
nan,col_1,"21
22
23
24
25",2122232425,2122232425.0,,8,1
nan,col_1,"26
27
28
29
30",2627282930,2627282930.0,,8,1
nan,col_1,"31
32
33
34
35",3132333435,3132333435.0,,8,1
nan,col_1,"36
37
38
39
40",3637383940,3637383940.0,,8,1
nan,col_1,"41
42
43
44
45",4142434445,4142434445.0,,8,1
nan,col_1,"46
47
48
49",46474849,46474849.0,,8,1
FedEx® Envelope,Next day by 8 or 8:30 a.m.4,"FedEx
First
Overnight®",,,,8,1
up to 8 oz.,Next day by 8 or 8:30 a.m.4,$ 83.52,83.52,83.52,8.0,8,1
FedEx® Pak,Next day by 8 or 8:30 a.m.4,*,,,,8,1
Fed,Next day by 8 or 8:30 a.m.4,,,,,8,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 8 or 8:30 a.m.4,"$ 111.40
118.79
128.23
139.75
142.05",111.40118.79128.23139.75142.05,,,8,1
nan,Next day by 8 or 8:30 a.m.4,"155.88
161.46
167.13
171.97
173.56",155.88161.46167.13171.97173.56,,,8,1
nan,Next day by 8 or 8:30 a.m.4,"204.91
208.82
212.81
220.78
224.08",204.91208.82212.81220.78224.08,,,8,1
nan,Next day by 8 or 8:30 a.m.4,"237.67
249.20
250.53
250.78
251.80",237.67249.20250.53250.78251.80,,,8,1
nan,Next day by 8 or 8:30 a.m.4,"271.88
278.09
284.94
288.58
297.19",271.88278.09284.94288.58297.19,,,8,1
nan,Next day by 8 or 8:30 a.m.4,"312.59
314.13
327.34
334.10
334.78",312.59314.13327.34334.10334.78,,,8,1
nan,Next day by 8 or 8:30 a.m.4,"347.68
354.39
359.69
366.66
367.38",347.68354.39359.69366.66367.38,,,8,1
nan,Next day by 8 or 8:30 a.m.4,"380.69
388.84
394.44
400.73
401.38",380.69388.84394.44400.73401.38,,,8,1
nan,Next day by 8 or 8:30 a.m.4,"414.26
419.16
429.10
435.72
440.15",414.26419.16429.10435.72440.15,,,8,1
nan,Next day by 8 or 8:30 a.m.4,"446.69
447.35
447.55
447.75",446.69447.35447.55447.75,,,8,1
FedEx® Envelope,Next day by 10:30 a.m. or 11 a.m. 5,"FedEx
Priority
Overnight®",,,,8,1
up to 8 oz.,Next day by 10:30 a.m. or 11 a.m. 5,$ 52.52,52.52,52.52,8.0,8,1
FedEx® Pak,Next day by 10:30 a.m. or 11 a.m. 5,*,,,,8,1
Fed,Next day by 10:30 a.m. or 11 a.m. 5,,,,,8,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 10:30 a.m. or 11 a.m. 5,"$ 80.40
87.79
97.23
108.75
111.05",80.4087.7997.23108.75111.05,,,8,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"124.88
130.46
136.13
140.97
142.56",124.88130.46136.13140.97142.56,,,8,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"173.91
177.82
181.81
189.78
193.08",173.91177.82181.81189.78193.08,,,8,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"206.67
218.20
219.53
219.78
220.80",206.67218.20219.53219.78220.80,,,8,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"240.88
247.09
253.94
257.58
266.19",240.88247.09253.94257.58266.19,,,8,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"281.59
283.13
296.34
303.10
303.78",281.59283.13296.34303.10303.78,,,8,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"316.68
323.39
328.69
335.66
336.38",316.68323.39328.69335.66336.38,,,8,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"349.69
357.84
363.44
369.73
370.38",349.69357.84363.44369.73370.38,,,8,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"383.26
388.16
398.10
404.72
409.15",383.26388.16398.10404.72409.15,,,8,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"415.69
416.35
416.55
416.75",415.69416.35416.55416.75,,,8,1
FedEx® Envelope,Next day by 5 p.m.6,"FedEx
Standard
Overnight®",,,,8,1
up to 8 oz.,Next day by 5 p.m.6,$ 49.82,49.82,49.82,8.0,8,1
FedEx® Pak,Next day by 5 p.m.6,*,,,,8,1
Fed,Next day by 5 p.m.6,,,,,8,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 5 p.m.6,"$ 69.96
80.46
89.23
95.77
102.83",69.9680.4689.2395.77102.83,,,8,1
nan,Next day by 5 p.m.6,"113.34
121.29
128.08
137.81
138.97",113.34121.29128.08137.81138.97,,,8,1
nan,Next day by 5 p.m.6,"153.05
161.48
170.78
179.47
184.11",153.05161.48170.78179.47184.11,,,8,1
nan,Next day by 5 p.m.6,"192.78
200.14
206.16
211.06
216.47",192.78200.14206.16211.06216.47,,,8,1
nan,Next day by 5 p.m.6,"229.73
235.66
242.06
242.70
247.73",229.73235.66242.06242.70247.73,,,8,1
nan,Next day by 5 p.m.6,"263.22
267.65
275.38
282.08
285.45",263.22267.65275.38282.08285.45,,,8,1
nan,Next day by 5 p.m.6,"294.94
301.36
310.45
317.48
318.19",294.94301.36310.45317.48318.19,,,8,1
nan,Next day by 5 p.m.6,"331.55
339.72
345.35
348.36
349.01",331.55339.72345.35348.36349.01,,,8,1
nan,Next day by 5 p.m.6,"361.79
366.68
376.55
383.16
391.23",361.79366.68376.55383.16391.23,,,8,1
nan,Next day by 5 p.m.6,"397.81
398.48
398.77
399.02",397.81398.48398.77399.02,,,8,1
FedEx® Envelope,2nd day by 10:30 a.m. or 11 a.m.5,"FedEx
2Day® A.M.",2..,,,8,1
up to 8 oz.,2nd day by 10:30 a.m. or 11 a.m.5,$ 31.06,31.06,31.06,8.0,8,1
FedEx® Pak,2nd day by 10:30 a.m. or 11 a.m.5,*,,,,8,1
Fed,2nd day by 10:30 a.m. or 11 a.m.5,,,,,8,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,2nd day by 10:30 a.m. or 11 a.m.5,"$ 34.13
34.44
36.47
39.50
43.88",34.1334.4436.4739.5043.88,,,8,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"47.83
51.89
55.50
59.99
64.62",47.8351.8955.5059.9964.62,,,8,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"65.50
71.28
72.37
78.85
82.68",65.5071.2872.3778.8582.68,,,8,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"86.28
90.01
93.25
96.05
99.73",86.2890.0193.2596.0599.73,,,8,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"103.48
110.42
114.40
116.97
118.05",103.48110.42114.40116.97118.05,,,8,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"124.75
129.03
129.46
132.25
134.28",124.75129.03129.46132.25134.28,,,8,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"137.89
141.82
150.79
151.72
152.00",137.89141.82150.79151.72152.00,,,8,1
