weight_raw,zone_raw,base_rate_raw,base_rate_clean,base_rate,weight_lb,pdf_page,table_index
FedEx® Envelope,col_1,,,,,2,1
up to 8 oz.,col_1,,,,8.0,2,1
FedEx® Pak,col_1,,,,,2,1
Fed,col_1,,,,,2,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,col_1,"1lb.
2 lbs.
3
4
5",1.2.345,,,2,1
nan,col_1,"6
7
8
9
10",678910,678910.0,,2,1
nan,col_1,"11
12
13
14
15",1112131415,1112131415.0,,2,1
nan,col_1,"16
17
18
19
20",1617181920,1617181920.0,,2,1
nan,col_1,"21
22
23
24
25",2122232425,2122232425.0,,2,1
nan,col_1,"26
27
28
29
30",2627282930,2627282930.0,,2,1
nan,col_1,"31
32
33
34
35",3132333435,3132333435.0,,2,1
nan,col_1,"36
37
38
39
40",3637383940,3637383940.0,,2,1
nan,col_1,"41
42
43
44
45",4142434445,4142434445.0,,2,1
nan,col_1,"46
47
48
49",46474849,46474849.0,,2,1
FedEx® Envelope,Next day by 8 or 8:30 a.m.4,"FedEx
First
Overnight®",,,,2,1
up to 8 oz.,Next day by 8 or 8:30 a.m.4,$ 65.71,65.71,65.71,8.0,2,1
FedEx® Pak,Next day by 8 or 8:30 a.m.4,*,,,,2,1
Fed,Next day by 8 or 8:30 a.m.4,,,,,2,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 8 or 8:30 a.m.4,"$ 73.31
73.87
77.77
82.02
82.45",73.3173.8777.7782.0282.45,,,2,1
nan,Next day by 8 or 8:30 a.m.4,"89.98
90.74
91.00
91.27
91.81",89.9890.7491.0091.2791.81,,,2,1
nan,Next day by 8 or 8:30 a.m.4,"102.44
104.12
104.39
105.89
106.16",102.44104.12104.39105.89106.16,,,2,1
nan,Next day by 8 or 8:30 a.m.4,"111.04
115.64
116.32
116.87
117.31",111.04115.64116.32116.87117.31,,,2,1
nan,Next day by 8 or 8:30 a.m.4,"121.08
125.22
125.74
128.25
128.75",121.08125.22125.74128.25128.75,,,2,1
nan,Next day by 8 or 8:30 a.m.4,"134.75
135.36
137.54
138.08
138.57",134.75135.36137.54138.08138.57,,,2,1
nan,Next day by 8 or 8:30 a.m.4,"142.67
145.85
148.60
151.12
153.69",142.67145.85148.60151.12153.69,,,2,1
nan,Next day by 8 or 8:30 a.m.4,"158.77
159.30
159.60
160.11
160.43",158.77159.30159.60160.11160.43,,,2,1
nan,Next day by 8 or 8:30 a.m.4,"166.14
168.12
171.80
174.98
181.82",166.14168.12171.80174.98181.82,,,2,1
nan,Next day by 8 or 8:30 a.m.4,"185.95
188.18
188.46
188.72",185.95188.18188.46188.72,,,2,1
FedEx® Envelope,Next day by 10:30 a.m. or 11 a.m. 5,"FedEx
Priority
Overnight®",,,,2,1
up to 8 oz.,Next day by 10:30 a.m. or 11 a.m. 5,$ 34.71,34.71,34.71,8.0,2,1
FedEx® Pak,Next day by 10:30 a.m. or 11 a.m. 5,*,,,,2,1
Fed,Next day by 10:30 a.m. or 11 a.m. 5,,,,,2,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 10:30 a.m. or 11 a.m. 5,"$ 42.31
42.87
46.77
51.02
51.45",42.3142.8746.7751.0251.45,,,2,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"58.98
59.74
60.00
60.27
60.81",58.9859.7460.0060.2760.81,,,2,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"71.44
73.12
73.39
74.89
75.16",71.4473.1273.3974.8975.16,,,2,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"80.04
84.64
85.32
85.87
86.31",80.0484.6485.3285.8786.31,,,2,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"90.08
94.22
94.74
97.25
97.75",90.0894.2294.7497.2597.75,,,2,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"103.75
104.36
106.54
107.08
107.57",103.75104.36106.54107.08107.57,,,2,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"111.67
114.85
117.60
120.12
122.69",111.67114.85117.60120.12122.69,,,2,1
