weight_raw,zone_raw,base_rate_raw,base_rate_clean,base_rate,weight_lb,pdf_page,table_index
FedEx® Envelope,col_1,,,,,20,1
up to 8 oz.,col_1,,,,8.0,20,1
FedEx® Pak,col_1,,,,,20,1
Fed,col_1,,,,,20,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,col_1,"1lb.
2 lbs.
3
4
5",1.2.345,,,20,1
nan,col_1,"6
7
8
9
10",678910,678910.0,,20,1
nan,col_1,"11
12
13
14
15",1112131415,1112131415.0,,20,1
nan,col_1,"16
17
18
19
20",1617181920,1617181920.0,,20,1
nan,col_1,"21
22
23
24
25",2122232425,2122232425.0,,20,1
nan,col_1,"26
27
28
29
30",2627282930,2627282930.0,,20,1
nan,col_1,"31
32
33
34
35",3132333435,3132333435.0,,20,1
nan,col_1,"36
37
38
39
40",3637383940,3637383940.0,,20,1
nan,col_1,"41
42
43
44
45",4142434445,4142434445.0,,20,1
nan,col_1,"46
47
48
49",46474849,46474849.0,,20,1
FedEx® Envelope,Next day by 8 or 8:30 a.m.4,"FedEx
First
Overnight®",,,,20,1
up to 8 oz.,Next day by 8 or 8:30 a.m.4,$ 97.62,97.62,97.62,8.0,20,1
FedEx® Pak,Next day by 8 or 8:30 a.m.4,*,,,,20,1
Fed,Next day by 8 or 8:30 a.m.4,,,,,20,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 8 or 8:30 a.m.4,"$ 137.55
153.02
164.39
176.16
177.36",137.55153.02164.39176.16177.36,,,20,1
nan,Next day by 8 or 8:30 a.m.4,"200.69
212.30
217.94
218.52
220.17",200.69212.30217.94218.52220.17,,,20,1
nan,Next day by 8 or 8:30 a.m.4,"252.89
257.56
277.66
279.68
280.96",252.89257.56277.66279.68280.96,,,20,1
nan,Next day by 8 or 8:30 a.m.4,"306.24
308.78
309.04
309.29
310.68",306.24308.78309.04309.29310.68,,,20,1
nan,Next day by 8 or 8:30 a.m.4,"338.16
348.58
357.59
364.17
365.02",338.16348.58357.59364.17365.02,,,20,1
