weight_raw,zone_raw,base_rate_raw,base_rate_clean,base_rate,weight_lb,pdf_page,table_index
FedEx® Envelope,col_1,,,,,14,1
up to 8 oz.,col_1,,,,8.0,14,1
FedEx® Pak,col_1,,,,,14,1
Fed,col_1,,,,,14,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,col_1,"1lb.
2 lbs.
3
4
5",1.2.345,,,14,1
nan,col_1,"6
7
8
9
10",678910,678910.0,,14,1
nan,col_1,"11
12
13
14
15",1112131415,1112131415.0,,14,1
nan,col_1,"16
17
18
19
20",1617181920,1617181920.0,,14,1
nan,col_1,"21
22
23
24
25",2122232425,2122232425.0,,14,1
nan,col_1,"26
27
28
29
30",2627282930,2627282930.0,,14,1
nan,col_1,"31
32
33
34
35",3132333435,3132333435.0,,14,1
nan,col_1,"36
37
38
39
40",3637383940,3637383940.0,,14,1
nan,col_1,"41
42
43
44
45",4142434445,4142434445.0,,14,1
nan,col_1,"46
47
48
49",46474849,46474849.0,,14,1
FedEx® Envelope,Next day by 8 or 8:30 a.m.4,"FedEx
First
Overnight®",,,,14,1
up to 8 oz.,Next day by 8 or 8:30 a.m.4,$ 88.35,88.35,88.35,8.0,14,1
FedEx® Pak,Next day by 8 or 8:30 a.m.4,*,,,,14,1
Fed,Next day by 8 or 8:30 a.m.4,,,,,14,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 8 or 8:30 a.m.4,"$ 124.59
129.30
148.31
154.81
155.96",124.59129.30148.31154.81155.96,,,14,1
nan,Next day by 8 or 8:30 a.m.4,"178.46
184.53
191.76
192.49
194.73",178.46184.53191.76192.49194.73,,,14,1
nan,Next day by 8 or 8:30 a.m.4,"239.22
248.04
248.93
249.22
250.59",239.22248.04248.93249.22250.59,,,14,1
nan,Next day by 8 or 8:30 a.m.4,"277.98
280.73
281.03
281.26
282.04",277.98280.73281.03281.26282.04,,,14,1
nan,Next day by 8 or 8:30 a.m.4,"297.38
299.26
320.90
323.07
328.75",297.38299.26320.90323.07328.75,,,14,1
