weight_raw,zone_raw,base_rate_raw,base_rate_clean,base_rate,weight_lb,pdf_page,table_index
FedEx® Envelope,col_1,,,,,11,1
up to 8 oz.,col_1,,,,8.0,11,1
FedEx® Pak,col_1,,,,,11,1
Fed,col_1,,,,,11,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,col_1,"1lb.
2 lbs.
3
4
5",1.2.345,,,11,1
nan,col_1,"6
7
8
9
10",678910,678910.0,,11,1
nan,col_1,"11
12
13
14
15",1112131415,1112131415.0,,11,1
nan,col_1,"16
17
18
19
20",1617181920,1617181920.0,,11,1
nan,col_1,"21
22
23
24
25",2122232425,2122232425.0,,11,1
nan,col_1,"26
27
28
29
30",2627282930,2627282930.0,,11,1
nan,col_1,"31
32
33
34
35",3132333435,3132333435.0,,11,1
nan,col_1,"36
37
38
39
40",3637383940,3637383940.0,,11,1
nan,col_1,"41
42
43
44
45",4142434445,4142434445.0,,11,1
nan,col_1,"46
47
48
49",46474849,46474849.0,,11,1
FedEx® Envelope,Next day by 8 or 8:30 a.m.4,"FedEx
First
Overnight®",,,,11,1
up to 8 oz.,Next day by 8 or 8:30 a.m.4,$ 87.22,87.22,87.22,8.0,11,1
FedEx® Pak,Next day by 8 or 8:30 a.m.4,*,,,,11,1
Fed,Next day by 8 or 8:30 a.m.4,,,,,11,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 8 or 8:30 a.m.4,"$ 119.90
126.45
140.09
150.46
151.53",119.90126.45140.09150.46151.53,,,11,1
nan,Next day by 8 or 8:30 a.m.4,"171.97
178.91
184.66
185.24
187.39",171.97178.91184.66185.24187.39,,,11,1
nan,Next day by 8 or 8:30 a.m.4,"230.39
239.83
244.46
244.93
246.28",230.39239.83244.46244.93246.28,,,11,1
nan,Next day by 8 or 8:30 a.m.4,"273.13
275.82
276.11
276.35
276.84",273.13275.82276.11276.35276.84,,,11,1
nan,Next day by 8 or 8:30 a.m.4,"286.31
293.71
306.22
317.33
318.45",286.31293.71306.22317.33318.45,,,11,1
nan,Next day by 8 or 8:30 a.m.4,"333.04
334.50
348.86
350.30
353.11",333.04334.50348.86350.30353.11,,,11,1
nan,Next day by 8 or 8:30 a.m.4,"367.49
368.93
391.53
393.80
394.21",367.49368.93391.53393.80394.21,,,11,1
nan,Next day by 8 or 8:30 a.m.4,"401.54
414.08
421.06
426.26
426.78",401.54414.08421.06426.26426.78,,,11,1
nan,Next day by 8 or 8:30 a.m.4,"436.90
443.11
454.16
465.73
470.03",436.90443.11454.16465.73470.03,,,11,1
nan,Next day by 8 or 8:30 a.m.4,"482.02
483.79
487.06
487.39",482.02483.79487.06487.39,,,11,1
FedEx® Envelope,Next day by 10:30 a.m. or 11 a.m. 5,"FedEx
Priority
Overnight®",,,,11,1
up to 8 oz.,Next day by 10:30 a.m. or 11 a.m. 5,$ 56.22,56.22,56.22,8.0,11,1
FedEx® Pak,Next day by 10:30 a.m. or 11 a.m. 5,*,,,,11,1
Fed,Next day by 10:30 a.m. or 11 a.m. 5,,,,,11,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 10:30 a.m. or 11 a.m. 5,"$ 88.90
95.45
109.09
119.46
120.53",88.9095.45109.09119.46120.53,,,11,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"140.97
147.91
153.66
154.24
156.39",140.97147.91153.66154.24156.39,,,11,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"199.39
208.83
213.46
213.93
215.28",199.39208.83213.46213.93215.28,,,11,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"242.13
244.82
245.11
245.35
245.84",242.13244.82245.11245.35245.84,,,11,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"255.31
262.71
275.22
286.33
287.45",255.31262.71275.22286.33287.45,,,11,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"302.04
303.50
317.86
319.30
322.11",302.04303.50317.86319.30322.11,,,11,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"336.49
337.93
360.53
362.80
363.21",336.49337.93360.53362.80363.21,,,11,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"370.54
383.08
390.06
395.26
395.78",370.54383.08390.06395.26395.78,,,11,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"405.90
412.11
423.16
434.73
439.03",405.90412.11423.16434.73439.03,,,11,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"451.02
452.79
456.06
456.39",451.02452.79456.06456.39,,,11,1
FedEx® Envelope,Next day by 5 p.m.6,"FedEx
Standard
Overnight®",,,,11,1
up to 8 oz.,Next day by 5 p.m.6,$ 53.51,53.51,53.51,8.0,11,1
FedEx® Pak,Next day by 5 p.m.6,*,,,,11,1
Fed,Next day by 5 p.m.6,,,,,11,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 5 p.m.6,"$ 77.51
87.44
96.87
105.18
115.43",77.5187.4496.87105.18115.43,,,11,1
nan,Next day by 5 p.m.6,"121.92
133.74
141.05
151.21
153.32",121.92133.74141.05151.21153.32,,,11,1
nan,Next day by 5 p.m.6,"171.51
179.34
187.66
195.60
203.48",171.51179.34187.66195.60203.48,,,11,1
nan,Next day by 5 p.m.6,"209.01
217.80
222.30
227.00
235.76",209.01217.80222.30227.00235.76,,,11,1
nan,Next day by 5 p.m.6,"243.51
256.37
265.07
265.94
269.32",243.51256.37265.07265.94269.32,,,11,1
nan,Next day by 5 p.m.6,"286.30
288.50
296.73
298.46
301.24",286.30288.50296.73298.46301.24,,,11,1
nan,Next day by 5 p.m.6,"315.55
320.00
330.71
339.87
345.37",315.55320.00330.71339.87345.37,,,11,1
nan,Next day by 5 p.m.6,"349.41
358.98
371.05
373.87
378.07",349.41358.98371.05373.87378.07,,,11,1
nan,Next day by 5 p.m.6,"384.59
394.47
401.73
413.23
421.50",384.59394.47401.73413.23421.50,,,11,1
nan,Next day by 5 p.m.6,"433.52
434.73
434.94
439.08",433.52434.73434.94439.08,,,11,1
FedEx® Envelope,2nd day by 10:30 a.m. or 11 a.m.5,"FedEx
2Day® A.M.",2..,,,11,1
up to 8 oz.,2nd day by 10:30 a.m. or 11 a.m.5,$ 35.97,35.97,35.97,8.0,11,1
FedEx® Pak,2nd day by 10:30 a.m. or 11 a.m.5,*,,,,11,1
Fed,2nd day by 10:30 a.m. or 11 a.m.5,,,,,11,1
